或许直播源,#genre#
浙江教科影视,http://A/ku9/js/zhejiangzsj.js?id=zjjjys
浙江民生休闲,http://A/ku9/js/zhejiangzsj.js?id=zjmsxx
浙江新闻,http://A/ku9/js/zhejiangzsj.js?id=zjxw
浙江少儿,http://A/ku9/js/zhejiangzsj.js?id=zjse
浙江国际,http://A/ku9/js/zhejiangzsj.js?id=zjgj
浙江好易购,http://A/ku9/js/zhejiangzsj.js?id=zjhyg
浙江纪录,http://A/ku9/js/zhejiangzsj.js?id=zjzjjl

河北卫视,http://A/ku9/js/hebei.js?id=hbws
河北经济生活,http://A/ku9/js/hebei.js?id=hbjj
农民频道,http://A/ku9/js/hebei.js?id=nmpd
河北都市,http://A/ku9/js/hebei.js?id=hbds
河北影视剧,http://A/ku9/js/hebei.js?id=hbys
河北少儿科教,http://A/ku9/js/hebei.js?id=hbse
河北公共,http://A/ku9/js/hebei.js?id=hbgg
河北三佳购物,http://A/ku9/js/hebei.js?id=hbsj

西安移动电视,http://A/ku9/js/xian.js?id=ydds
西安新闻综合,http://A/ku9/js/xian.js?id=xwzh
西安都市频道,http://A/ku9/js/xian.js?id=dspd
西安商务资讯,http://A/ku9/js/xian.js?id=swzx
西安戏剧影视,http://A/ku9/js/xian.js?id=xjys
西安丝路频道,http://A/ku9/js/xian.js?id=slpd

临沂综合,http://A/ku9/js/sdly.js?id=lyzh
临沂经济,http://A/ku9/js/sdly.js?id=lyjj
临沂公共,http://A/ku9/js/sdly.js?id=lygg

海南卫视,http://A/ku9/js/hainan.js?id=hnws
三沙卫视,http://A/ku9/js/hainan.js?id=ssws
海南新闻频道,http://A/ku9/js/hainan.js?id=xwpd
海南文旅频道,http://A/ku9/js/hainan.js?id=wlpd
海南自贸频道,http://A/ku9/js/hainan.js?id=jjpd
海南公共频道,http://A/ku9/js/hainan.js?id=ggpd
海南少儿频道,http://A/ku9/js/hainan.js?id=sepd


广东省台频道,#genre#
广东卫视4K,http://192.168.1.7:5678/gdtv.php?id=2567
广东卫视,http://192.168.1.7:5678/gdtv.php?id=1182
广东珠江,http://192.168.1.7:5678/gdtv.php?id=1183
大湾区卫视,http://192.168.1.7:5678/gdtv.php?id=1197
广东4K超高清,http://192.168.1.7:5678/gdtv.php?id=1198
广东新闻,http://192.168.1.7:5678/gdtv.php?id=1186
广东体育,http://192.168.1.7:5678/gdtv.php?id=1184
广东民生,http://192.168.1.7:5678/gdtv.php?id=1185
广东影视,http://192.168.1.7:5678/gdtv.php?id=1199
嘉佳卡通,http://192.168.1.7:5678/gdtv.php?id=1187
大湾区卫视（海外版）,http://192.168.1.7:5678/gdtv.php?id=1191
广东少儿,http://192.168.1.7:5678/gdtv.php?id=1200
广东移动,http://192.168.1.7:5678/gdtv.php?id=2463
现代教育,http://192.168.1.7:5678/gdtv.php?id=2436
岭南戏曲,http://192.168.1.7:5678/gdtv.php?id=2510
广州综合,http://192.168.1.7:5678/gdtv.php?id=1175
广州新闻,http://192.168.1.7:5678/gdtv.php?id=1176
深圳卫视,http://192.168.1.7:5678/gdtv.php?id=1206
